slug	scientific	common	reason
microcentrum_rhombifolium	Microcentrum rhombifolium	Greater Angle-wing	not in eBird taxonomy
micropygia_schomburgkii	Micropygia schomburgkii	Ocellated Crake	not in eBird taxonomy
milvago_chimachima	Milvago chimachima	Yellow-headed Caracara	not in eBird taxonomy
milvago_chimango	Milvago chimango	Chimango Caracara	not in eBird taxonomy
miogryllus_saussurei	Miogryllus saussurei	Miogryllus saussurei	not in eBird taxonomy
mirafra_affinis	Mirafra affinis	Jerdon's Bushlark	not in eBird taxonomy
mirafra_africana	Mirafra africana	Rufous-naped Lark	not in eBird taxonomy
mirafra_apiata	Mirafra apiata	Cape Clapper Lark	not in eBird taxonomy
mirafra_assamica	Mirafra assamica	Bengal Bushlark	not in eBird taxonomy
mirafra_cantillans	Mirafra cantillans	Singing Bushlark	not in eBird taxonomy
mirafra_erythrocephala	Mirafra erythrocephala	Indochinese Bushlark	not in eBird taxonomy
mirafra_erythroptera	Mirafra erythroptera	Indian Bushlark	not in eBird taxonomy
mirafra_fasciolata	Mirafra fasciolata	Eastern Clapper Lark	not in eBird taxonomy
mirafra_rufocinnamomea	Mirafra rufocinnamomea	Flappet Lark	not in eBird taxonomy
montifringilla_blanfordi	Montifringilla blanfordi	Blanford's Snowfinch	not in eBird taxonomy
montifringilla_taczanowskii	Montifringilla taczanowskii	White-rumped Snowfinch	not in eBird taxonomy
musophaga_rossae	Musophaga rossae	Ross's Turaco	not in eBird taxonomy
neoconocephalus_bivocatus	Neoconocephalus bivocatus	False Robust Conehead	not in eBird taxonomy
neoconocephalus_ensiger	Neoconocephalus ensiger	Sword-bearing Conehead	not in eBird taxonomy
neoconocephalus_retusus	Neoconocephalus retusus	Round-tipped Conehead	not in eBird taxonomy
neoconocephalus_robustus	Neoconocephalus robustus	Robust Conehead	not in eBird taxonomy
neocossyphus_finschi	Neocossyphus finschi	Finsch's Flycatcher-Thrush	not in eBird taxonomy
neocossyphus_fraseri	Neocossyphus fraseri	Rufous Flycatcher-Thrush	not in eBird taxonomy
neonemobius_cubensis	Neonemobius cubensis	Cuban Ground Cricket	not in eBird taxonomy
